Entry ID,Date,Year,State,Local Government Area,Cases,Deaths,Confirmed,Hospitalised/Treated ,CFR (%),M/F,Age,OCV Delivered,Population,"Cases/100,000","Deaths/100,000",IDP/Displacement,Socio-cultural,Food/Water,Environmental,Rural/Urban,Sanitation & Hygiene,Education,Occupation,Household/Setting,Conflict (Y),Interventions ,Aid,Reference
,,,Bauchi,,"4,660",151,,,3.240,,,,"158,503,197",2.9400,0.0953,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Borno,,"2,616",30,,,1.147,,,,"158,503,197",1.6504,0.0189,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Gombe,,"1,089",151,,,13.866,,,,"158,503,197",0.6871,0.0953,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Jigawa,,741,35,,,4.723,,,,"158,503,197",0.4675,0.0221,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Kaduna,,778,40,,,5.141,,,,"158,503,197",0.4908,0.0252,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Katsina,,"5,704",200,,,3.506,,,,"158,503,197",3.5987,0.1262,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Sokoto,,248,22,,,8.871,,,,"158,503,197",0.1565,0.0139,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Taraba,,536,37,,,6.903,,,,"158,503,197",0.3382,0.0233,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
,,,Yobe,,"2,735",136,,,4.973,,,,"158,503,197",1.7255,0.0858,,,,,,,,,,,,,"Dalhat, M.M., Isa, A.N., Nguku, P., Nasir, S.G., Urban, K., Abdulaziz, M., Dankoli, R.S., Nsubuga, P. and Poggensee, G., 2014. Descriptive characterization of the 2010 cholera outbreak in Nigeria. BMC public health, 14(1), p.1167."
NGA10-1-4-1,4 Jan,2010,,,"29,115","1,191",,,4.091,,,,"158,503,197",18.3687,0.7514,Displacement ,,,Heavy rainfall,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-5-1-1,1 May,2010,,,,,,,,53F:39M,"<5 yrs 23.9%, 13-25 yrs 23.9%, >25 yrs 34.8%",,,,,,,,,,,Women were less likely to be educated in good public health ,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,Bauchi,,73,,,,,,,,"158,503,197",0.0461,,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,Gombe,,"1,998",113,,,5.656,,,,"158,503,197",1.2605,0.0713,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Akko,266,14,,,5.263,,,,"158,503,197",0.1678,0.0088,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Balanga,608,23,,,3.783,,,,"158,503,197",0.3836,0.0145,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Billiri,11,2,,,18.182,,,,"158,503,197",0.0069,0.0013,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Gombe,152,44,,,28.947,,,,"158,503,197",0.0959,0.0278,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Kaltungo,84,7,,,8.333,,,,"158,503,197",0.0530,0.0044,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Kwami,5,1,,,20.000,,,,"158,503,197",0.0032,0.0006,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Nafada,8,1,,,12.500,,,,"158,503,197",0.0050,0.0006,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Shongom,10,2,,,20.000,,,,"158,503,197",0.0063,0.0013,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
,,,,Yamaltu/Deba,254,19,,,7.480,,,,"158,503,197",0.1602,0.0120,,,,,,,,,,,,,"Adeneye, A.K., Musa, A.Z., Oyedeji, K.S., Oladele, D., Ochoga, M., Akinsinde, K.A., Niemogha, M.T., Nwaokorie, F.O., Bamidele, T.A., Brai, B.I. and Omonigbehin, E.A., 2016. Risk factors associated with cholera outbreak in Bauchi and Gombe states in north East Nigeria. Journal of Public Health and Epidemiology, 8(11), pp.286-296."
NGA10-5-24-1,24 May,2010,Federal Capital Territory ,Gwagwalada,118,6,,,5.085,,,,"158,503,197",0.0744,0.0038,,,,,,,,,,,Encourage reporting instead of self-medication ,,https://promedmail.org/promed-posts/
NGA10-6-18-1,18 Jun,2010,Rivers,,78,6,,78,7.692,,,,"158,503,197",0.0492,0.0038,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-6-21-1,21 Jun,2010,Adamawa,,86,21,,,24.419,,,,"158,503,197",0.0543,0.0132,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-7-1-1,1 Jul,2010,Bauchi,,"3,300",,,,,,,,"158,503,197",2.0820,,,,,,,,,,,,,MSF,https://promedmail.org/promed-posts/
,,,Borno,Maiduguri,300,7,,,2.333,,,,"158,503,197",0.1893,0.0044,,,,,,,,,,,,,https://promedmail.org/promed-posts/
,,,Zamfara,,"1,000",100,,,10.000,,,,"158,503,197",0.6309,0.0631,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-7-23-1,23 Jul,2010,,,"41,787","1,716",,,4.107,,,,"158,503,197",26.3635,1.0826,,,Contaminated wells,Heavy rainfall,,Sanitation,,,,,,,https://public.emdat.be
,,,Borno,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Bauchi,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Jigawa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Rivers,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Cross River,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Taraba,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Kaduna,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Adamawa,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Gombe,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Katsina,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
,,,Yobe,,,,,,,,,,,,,,,,,,,,,,,,,https://public.emdat.be
NGA10-7-28-1,28 Jul,2010,Bauchi,,160,6,,,3.750,,,,"158,503,197",0.1009,0.0038,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-8-12-1,12 Aug,2010,Borno,,115,40,,,34.783,,,,"158,503,197",0.0726,0.0252,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-8-12-2,12 Aug,2010,Borno,,25,50,,,,,,,"158,503,197",0.0158,0.0315,,,,,,,,,,,,,https://promedmail.org/promed-posts/
NGA10-8-15-1,15 Aug,2010,Bauchi,,777,31,,,3.990,,,,"158,503,197",0.4902,0.0196,,,,,,,,,,,,,https://promedmail.org/promed-posts/
