state,disease,year,week,cases,source_pdf,table_idx
● 5-Day Stakeholders Meeting In Lagos To Review The Draft And Buy-In Of The Stakeholders.(35 Participants),"6,124,800_1",,,11097000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
"● Identify And Constitute Quantification And Forecasting Team For Response Materials, Laboratory Reagents, Consumables And All Health Commodities For All The Priority Diseases And Events. ( A Day Meeting In Abuja)","6,124,800_1",,,1608000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
● Four Days Forecasting And Supply Planning Meeting For Priority Diseases And Public Health Events In Abuja.( 30 Participants),"6,124,800_1",,,4294000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,140
● 5-Day Stakeholders Meeting In Lagos To Review The Draft And Buy-In Of The Stakeholders.(35 Participants),"3,780,000",,,7749000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,141
● 5-Day Stakeholders Meeting In Lagos To Review The Draft And Buy-In Of The Stakeholders.(35 Participants),"3,780,000_1",,,7749000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,141
● Conduct 3-Day Advocacy To Relevant Mdas On The Need For One Health In Emergency Response In Abuja. (15 Members Advocacy Team Selected Across The Stakeholders),Cost (N) 2018-2019,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,142
● Conduct 3-Day Advocacy To Relevant Mdas On The Need For One Health In Emergency Response In Abuja. (15 Members Advocacy Team Selected Across The Stakeholders),Cost (N) 2018-2022,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,142
Training Module Development Workshop In Abuja,"11,277,600",,,2288000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,147
Training Module Development Workshop In Abuja,"11,277,600_1",,,2288000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,147
"Lagos Implementation Workshop, Part 2","● IPC training of 28 frontline health care workers from 7 public health facilities and 7 private health facilities with 4 state ministry officials as ""IPC change agents"" using participatory quality development Approach and systemic view",,,11.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,148
"Lagos Implementation Workshop, Part 2","13,615,014",,,10758550.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,148
"Lagos Implementation Workshop, Part 2","13,615,014_1",,,10758550.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,148
"● Memo To Hmh From Dir. Phs For Consideration And Approval, And Notification To Who And Ihr Focal Person. Send Communication To Who Afro Via The Nigerian Ihr Nfp To Indicate Decision To Designate Mmia, Naia, Makia And The Port Of Lagos (Papa).",Strategic Action,,,2005.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Naia D. Conduct Ihr Assessment For Port Of Lagos (Papa),Strategic Action,,,4050.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Memo To Hmh From Dir. Phs For Consideration And Approval, And Notification To Who And Ihr Focal Person. Send Communication To Who Afro Via The Nigerian Ihr Nfp To Indicate Decision To Designate Mmia, Naia, Makia And The Port Of Lagos (Papa).",Cost (N) 2018-2019,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Naia D. Conduct Ihr Assessment For Port Of Lagos (Papa),Cost (N) 2018-2019,,,6000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Port Of Lagos (Papa),Cost (N) 2018-2019,,,1918800.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Naia ● A Final Assessment Meeting With Between 15 And 20 Agencies (50 Participants) Will Hold At The Poe. This Will Require 1 Coffee And 1 Lunch Break. ● The Final Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff (This Is In Addition To The 5 Ihr Consultants). They Would Require Flight Tickets To And From Abuja, Accommodation And Per Diems For 3-Days (Including 2 Travel Days)",Cost (N) 2018-2019,,,1240000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Port Of Lagos (Papa) ● A Final Assessment Meeting With Between 15 And 20 Agencies (50 Participants) Will Hold At The Poe. This Will Require 1 Coffee And 1 Lunch Break. ● The Final Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff (This Is In Addition To The 5 Ihr Consultants). They Would Require Flight Tickets To And From Abuja, Accommodation And Per Diems For 3-Days (Including 2 Travel Days)",Cost (N) 2018-2019,,,6355200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Develop An Action Plan To Address The Gaps At Each Of The Selected Points Of Entry. Engage 5 National Consultants To Meet In Abuja For 5-Days,Cost (N) 2018-2019,,,1500000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Develop An Action Plan To Address The Gaps At Each Of The Selected Points Of Entry. 1. The Consultants Will Meet In Abuja For 5-Days To Evaluate The Results Of The Assessment Tools, Determine The Scores Of Each Poe, Identify The Gaps And Develop Action Plans To Address Each Of The Selected Points. 2. They Will Require Renting An Office Space For The 5-Days 3. 1 Coffee And Lunch Break Would Be Required For 5-Days",Cost (N) 2018-2019,,,1750000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Memo To Hmh From Dir. Phs For Consideration And Approval, And Notification To Who And Ihr Focal Person. Send Communication To Who Afro Via The Nigerian Ihr Nfp To Indicate Decision To Designate Mmia, Naia, Makia And The Port Of Lagos (Papa).",Cost (N) 2018-2022,,,0.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Naia D. Conduct Ihr Assessment For Port Of Lagos (Papa),Cost (N) 2018-2022,,,6000000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Port Of Lagos (Papa),Cost (N) 2018-2022,,,1918800.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Naia ● A Final Assessment Meeting With Between 15 And 20 Agencies (50 Participants) Will Hold At The Poe. This Will Require 1 Coffee And 1 Lunch Break. ● The Final Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff (This Is In Addition To The 5 Ihr Consultants). They Would Require Flight Tickets To And From Abuja, Accommodation And Per Diems For 3-Days (Including 2 Travel Days)",Cost (N) 2018-2022,,,1240000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Identify And Assemble Stakeholders To Participate In Assessment - All Agencies At Poe; A. Conduct Ihr Assessment For Mmia B. Conduct Ihr Assessment For Makia C. Conduct Ihr Assessment For Port Of Lagos (Papa) ● A Final Assessment Meeting With Between 15 And 20 Agencies (50 Participants) Will Hold At The Poe. This Will Require 1 Coffee And 1 Lunch Break. ● The Final Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff (This Is In Addition To The 5 Ihr Consultants). They Would Require Flight Tickets To And From Abuja, Accommodation And Per Diems For 3-Days (Including 2 Travel Days)",Cost (N) 2018-2022,,,6355200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
● Develop An Action Plan To Address The Gaps At Each Of The Selected Points Of Entry. Engage 5 National Consultants To Meet In Abuja For 5-Days,Cost (N) 2018-2022,,,1500000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"● Develop An Action Plan To Address The Gaps At Each Of The Selected Points Of Entry. 1. The Consultants Will Meet In Abuja For 5-Days To Evaluate The Results Of The Assessment Tools, Determine The Scores Of Each Poe, Identify The Gaps And Develop Action Plans To Address Each Of The Selected Points. 2. They Will Require Renting An Office Space For The 5-Days 3. 1 Coffee And Lunch Break Would Be Required For 5-Days",Cost (N) 2018-2022,,,1750000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,162
"A● Share Report Of Assessment With Mmia, Makia, Port Of Lagos Papa -Specific And National Stakeholders At 'Report Dissemination And Strategy Development Meetings'. (Each Ihr Assessment Requires Site Visits To And A Final Assessment Meeting With Between 15 And 20 Agencies) . The Post-Ihr Assessment Meeting Will Consist Of 15 And 20 Agencies (50 Participants). B. This Will Require 1 Coffee And 1 Lunch Break. C. The Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff. D. The Assessment Meeting Will Require Renting A Venue.",col_3,,,7705200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,163
● Share Report Of Assessment With Relevant Poe -Specific And National Stakeholders At 'Report Dissemination And Strategy Development Meetings'. (Each Ihr Assessment Requires Site Visits To And A Final Assessment Meeting With Between 15 And 20 Agencies) Engage 5 National Consultants To Meet In Abuja For 1-Day,col_3,,,1200000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,163
"A● Share Report Of Assessment With Mmia, Makia, Port Of Lagos Papa -Specific And National Stakeholders At 'Report Dissemination And Strategy Development Meetings'. (Each Ihr Assessment Requires Site Visits To And A Final Assessment Meeting With Between 15 And 20 Agencies) . The Post-Ihr Assessment Meeting Will Consist Of 15 And 20 Agencies (50 Participants). B. This Will Require 1 Coffee And 1 Lunch Break. C. The Assessment Meeting Will Require Travel For 4 Directorate Cadre Staff. D. The Assessment Meeting Will Require Renting A Venue.",col_4,,,7705200.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,163
● Share Report Of Assessment With Relevant Poe -Specific And National Stakeholders At 'Report Dissemination And Strategy Development Meetings'. (Each Ihr Assessment Requires Site Visits To And A Final Assessment Meeting With Between 15 And 20 Agencies) Engage 5 National Consultants To Meet In Abuja For 1-Day,col_4,,,1200000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,163
● 2-Days Training Of 60 Laboratory Personnel Working In Established Tertiary Healthcare Facilities At Abuja (10 In Each Geopolitical Zones),"4,538,000",,,12179800.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,172
"● 3-Day Annual Review Of The Risk Assessment, Surveillance, Laboratory Confirmation, Event Confirmation And Notification, And Response To Chemical Emergency By The Chemical Emergency Response Team In Abuja For 60 People.","4,538,000",,,8624000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,172
● 2-Days Training Of 60 Laboratory Personnel Working In Established Tertiary Healthcare Facilities At Abuja (10 In Each Geopolitical Zones),"18,152,000",,,24359600.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,172
"● 3-Day Annual Review Of The Risk Assessment, Surveillance, Laboratory Confirmation, Event Confirmation And Notification, And Response To Chemical Emergency By The Chemical Emergency Response Team In Abuja For 60 People.","18,152,000",,,34496000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,172
● 5-Days Pilot Survey Of The Tool In The Field At Lagos ( 10 People),"14,145,000",,,2441000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,173
● 5-Days Pilot Survey Of The Tool In The Field At Lagos ( 10 People),"14,145,000_1",,,2441000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,173
"● Develop A Tor For The Steering Committee: A 1-Day Meeting For 40 People In Abuja. Representatives Will Be From Mdas, Regulatory Bodies, The Private Sector, Academia From Human, Animal, Environmental Health And Food Safety Institutions And Partners (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2019,,,5270000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
● Advocacy Visit To The Deputy Speaker House Committee On Health (6 Persons Will Take 1-Day Visit To The Senate; 2 Would Be From Outside Abuja),Cost (N) 2018-2019,,,865000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
"● Workshop With 60 Stakeholders Discuss Next Steps After Amr Case Study Report, Review The Tor For The Amr Technical Working Group Via A 2-Day Workshop Held In Lagos And Review The Nap To Develop Operational Plan For Activities To Be Implemented In 2018 (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2019,,,9374000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
"● Collaborate With Fmard To Establish A Voluntary Certification Program On Rational Use Of Antibiotics In The Agriculture Sector By Convening Annual Meetings With Fmard On Framework For The Program And Regular Updates On Progress Made (Two Meetings Of 30 People From Fmoh, Ncdc And Fmard Will Be Held In Abuja)",Cost (N) 2018-2019,,,4794000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
"● Develop A Tor For The Steering Committee: A 1-Day Meeting For 40 People In Abuja. Representatives Will Be From Mdas, Regulatory Bodies, The Private Sector, Academia From Human, Animal, Environmental Health And Food Safety Institutions And Partners (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2022,,,5270000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
● Advocacy Visit To The Deputy Speaker House Committee On Health (6 Persons Will Take 1-Day Visit To The Senate; 2 Would Be From Outside Abuja),Cost (N) 2018-2022,,,1730000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
"● Workshop With 60 Stakeholders Discuss Next Steps After Amr Case Study Report, Review The Tor For The Amr Technical Working Group Via A 2-Day Workshop Held In Lagos And Review The Nap To Develop Operational Plan For Activities To Be Implemented In 2018 (This Includes Cost For Travels/Per Diem/Food/Accommodation/Venue For Invited Stakeholders, Stationeries, Writing Materials Etc.)",Cost (N) 2018-2022,,,9374000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
"● Collaborate With Fmard To Establish A Voluntary Certification Program On Rational Use Of Antibiotics In The Agriculture Sector By Convening Annual Meetings With Fmard On Framework For The Program And Regular Updates On Progress Made (Two Meetings Of 30 People From Fmoh, Ncdc And Fmard Will Be Held In Abuja)",Cost (N) 2018-2022,,,19176000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,233
● Conduct A 5-Day Meeting To Develop Guidelines For The Biosafety/Ipc Program For Veterinary Clinics/Hospitals And Vet Laboratories X 15 People In Abuja,"24,513,000",,,3035000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,238
● A 2-Days Validation Workshop For 40 People In Abuja (15 Persons From Outside Abuja),"24,513,000",,,5160000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,238
"● Develop Guidelines And Iec Materials To Ensure Proper Waste Disposal And Management And Guideline For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed/Feed Milling. A) Conduct A 5-Day Workshop To Develop Guidelines For Wholesome And Hygienic, Fish, Meat, Dairy & Dairy Products, Terrestrial & Aquatic Animal Transporters, Handlers And Feed / Feed Milling X 10 People In Abuja","24,513,000",,,4310000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,238
● Conduct A 5-Day Meeting To Develop Guidelines For The Biosafety/Ipc Program For Veterinary Clinics/Hospitals And Vet Laboratories X 15 People In Abuja,"49,026,000",,,3035000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,238
● A 2-Days Validation Workshop For 40 People In Abuja (15 Persons From Outside Abuja),"49,026,000",,,5160000.0,5e88f9e22d2b4e4563b527005c8a0c43.pdf,238
