Field,Label,Value
resource_7_format,File Format,CSV
resource_7_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/b9f4b162-3ae3-496b-8dac-019767bc2e9e/download/mics-indicators_subnational_nga.csv
resource_7_id,Resource ID,b9f4b162-3ae3-496b-8dac-019767bc2e9e
resource_7_last_modified,Updated,2025-09-18T06:04:44.273396
resource_7_metadata_modified,Metadata Updated,2025-09-18T06:09:22.039139
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_7_resource_type,Resource Type,file.upload
resource_7_name,Resource Name,MICS indicators Data for Nigeria
resource_7_mimetype,MIME Type,text/csv
resource_7_size,Size,2.1M
resource_8_created,Created,2020-01-27T19:36:13.493957
resource_8_description,Description,HXLated csv containing FP2020 data
resource_8_format,File Format,CSV
resource_8_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/5c836f96-0cd3-4757-9a02-e03bb453bc12/download/fp2020_subnational_nga.csv
resource_8_id,Resource ID,5c836f96-0cd3-4757-9a02-e03bb453bc12
resource_8_last_modified,Updated,2025-09-18T06:04:44.616976
resource_8_metadata_modified,Metadata Updated,2025-09-18T06:09:08.511290
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_8_resource_type,Resource Type,file.upload
resource_8_name,Resource Name,FP2020 Data for Nigeria
resource_8_mimetype,MIME Type,text/csv
resource_8_size,Size,815.5K
resource_9_created,Created,2020-01-27T19:36:13.493961
resource_9_description,Description,HXLated csv containing Access to Health Care data
resource_9_format,File Format,CSV
resource_9_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/e454ae1b-935f-4a7f-b395-57763270d0fd/download/access-to-health-care_subnational_nga.csv
resource_9_id,Resource ID,e454ae1b-935f-4a7f-b395-57763270d0fd
resource_9_last_modified,Updated,2025-09-18T06:04:44.904303
resource_9_metadata_modified,Metadata Updated,2025-09-18T06:09:15.997672
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_9_resource_type,Resource Type,file.upload
resource_9_name,Resource Name,Access to Health Care Data for Nigeria
resource_9_mimetype,MIME Type,text/csv
resource_9_size,Size,2.4M
resource_10_created,Created,2020-01-27T19:36:13.493965
resource_10_description,Description,HXLated csv containing Anemia data
resource_10_format,File Format,CSV
resource_10_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/f9ed92b4-cdef-48b8-8eac-1807f7c7f216/download/anemia_subnational_nga.csv
resource_10_id,Resource ID,f9ed92b4-cdef-48b8-8eac-1807f7c7f216
resource_10_last_modified,Updated,2025-09-18T06:04:45.606433
resource_10_metadata_modified,Metadata Updated,2025-09-18T06:09:12.955648
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_10_resource_type,Resource Type,file.upload
resource_10_name,Resource Name,Anemia Data for Nigeria
resource_10_mimetype,MIME Type,text/csv
resource_10_size,Size,283.2K
resource_11_created,Created,2020-01-27T19:36:13.493970
resource_11_description,Description,HXLated csv containing Anthropometry data
resource_11_format,File Format,CSV
resource_11_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/6604fb52-17db-4e41-bdd4-2001b183cd41/download/anthropometry_subnational_nga.csv
resource_11_id,Resource ID,6604fb52-17db-4e41-bdd4-2001b183cd41
resource_11_last_modified,Updated,2025-09-18T06:04:45.883619
resource_11_metadata_modified,Metadata Updated,2025-09-18T06:09:11.808670
resource_11_microdata,Microdata,False
resource_11_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_11_resource_type,Resource Type,file.upload
resource_11_name,Resource Name,Anthropometry Data for Nigeria
resource_11_mimetype,MIME Type,text/csv
resource_11_size,Size,469.5K
resource_12_created,Created,2020-01-27T19:36:13.493974
resource_12_description,Description,HXLated csv containing Birth Registration data
resource_12_format,File Format,CSV
resource_12_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/172b76fc-b1d8-4bce-9735-66434fddfad1/download/birth-registration_subnational_nga.csv
resource_12_id,Resource ID,172b76fc-b1d8-4bce-9735-66434fddfad1
resource_12_last_modified,Updated,2025-09-18T06:04:46.183693
resource_12_metadata_modified,Metadata Updated,2025-09-18T06:09:31.325814
resource_12_microdata,Microdata,False
resource_12_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_12_resource_type,Resource Type,file.upload
resource_12_name,Resource Name,Birth Registration Data for Nigeria
resource_12_mimetype,MIME Type,text/csv
resource_12_size,Size,40.7K
resource_13_created,Created,2020-01-27T19:36:13.493978
resource_13_description,Description,HXLated csv containing Child Mortality Rates data
resource_13_format,File Format,CSV
resource_13_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/57a168ba-5f4b-4b07-a494-98cae1b747c2/download/child-mortality-rates_subnational_nga.csv
resource_13_id,Resource ID,57a168ba-5f4b-4b07-a494-98cae1b747c2
resource_13_last_modified,Updated,2025-09-18T06:04:46.490566
resource_13_metadata_modified,Metadata Updated,2025-09-18T06:09:17.748868
resource_13_microdata,Microdata,False
resource_13_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_13_resource_type,Resource Type,file.upload
resource_13_name,Resource Name,Child Mortality Rates Data for Nigeria
resource_13_mimetype,MIME Type,text/csv
resource_13_size,Size,203.9K
resource_14_created,Created,2020-01-27T19:36:13.493982
resource_14_description,Description,HXLated csv containing Diarrhea data
resource_14_format,File Format,CSV
resource_14_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/7bf2c303-5e2c-4762-88a9-952d30299d62/download/diarrhea_subnational_nga.csv
resource_14_id,Resource ID,7bf2c303-5e2c-4762-88a9-952d30299d62
resource_14_last_modified,Updated,2025-09-18T06:04:47.145780
resource_14_metadata_modified,Metadata Updated,2025-09-18T06:09:19.466509
resource_14_microdata,Microdata,False
resource_14_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_14_resource_type,Resource Type,file.upload
resource_14_name,Resource Name,Diarrhea Data for Nigeria
resource_14_mimetype,MIME Type,text/csv
resource_14_size,Size,1.8M
resource_15_created,Created,2020-01-27T19:36:13.493986
resource_15_description,Description,HXLated csv containing Fertility Rates data
resource_15_format,File Format,CSV
resource_15_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/13f79f06-05db-4a35-92cf-d8f2b11944bd/download/fertility-rates_subnational_nga.csv
resource_15_id,Resource ID,13f79f06-05db-4a35-92cf-d8f2b11944bd
resource_15_last_modified,Updated,2025-09-18T06:04:47.414438
resource_15_metadata_modified,Metadata Updated,2025-09-18T06:09:23.733470
resource_15_microdata,Microdata,False
resource_15_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_15_resource_type,Resource Type,file.upload
resource_15_name,Resource Name,Fertility Rates Data for Nigeria
resource_15_mimetype,MIME Type,text/csv
resource_15_size,Size,352.8K
resource_16_created,Created,2020-01-27T19:36:13.493990
resource_16_description,Description,HXLated csv containing Health Insurance data
resource_16_format,File Format,CSV
resource_16_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/0ca89ba7-7a81-4d2a-bd20-2e3ee87a24c6/download/health-insurance_subnational_nga.csv
resource_16_id,Resource ID,0ca89ba7-7a81-4d2a-bd20-2e3ee87a24c6
resource_16_last_modified,Updated,2025-09-18T06:04:47.669022
resource_16_metadata_modified,Metadata Updated,2025-09-18T06:09:32.157657
resource_16_microdata,Microdata,False
resource_16_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_16_resource_type,Resource Type,file.upload
resource_16_name,Resource Name,Health Insurance Data for Nigeria
resource_16_mimetype,MIME Type,text/csv
resource_16_size,Size,288.0K
resource_17_created,Created,2020-01-27T19:36:13.493994
resource_17_description,Description,HXLated csv containing HIV Attitudes data
resource_17_format,File Format,CSV
resource_17_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/1b495630-9425-4cd4-a697-619c53f4c6a8/download/hiv-attitudes_subnational_nga.csv
resource_17_id,Resource ID,1b495630-9425-4cd4-a697-619c53f4c6a8
resource_17_last_modified,Updated,2025-09-18T06:04:47.948174
resource_17_metadata_modified,Metadata Updated,2025-09-18T06:09:26.590003
resource_17_microdata,Microdata,False
resource_17_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_17_resource_type,Resource Type,file.upload
resource_17_name,Resource Name,HIV Attitudes Data for Nigeria
resource_17_mimetype,MIME Type,text/csv
resource_17_size,Size,482.4K
resource_18_created,Created,2020-01-27T19:36:13.493998
resource_18_description,Description,HXLated csv containing HIV Behavior data
resource_18_format,File Format,CSV
resource_18_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/d3d8e484-4f84-4069-b0de-40fb8e328b02/download/hiv-behavior_subnational_nga.csv
resource_18_id,Resource ID,d3d8e484-4f84-4069-b0de-40fb8e328b02
resource_18_last_modified,Updated,2025-09-18T06:04:48.207831
resource_18_metadata_modified,Metadata Updated,2025-09-18T06:09:47.711593
resource_18_microdata,Microdata,False
resource_18_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_18_resource_type,Resource Type,file.upload
resource_18_name,Resource Name,HIV Behavior Data for Nigeria
resource_18_mimetype,MIME Type,text/csv
resource_18_size,Size,668.1K
resource_19_created,Created,2020-01-27T19:36:13.494003
resource_19_description,Description,HXLated csv containing HIV Counseling and Testing data
resource_19_format,File Format,CSV
resource_19_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/793903c5-c72f-4244-889a-496d7caa4721/download/hiv-counseling-and-testing_subnational_nga.csv
resource_19_id,Resource ID,793903c5-c72f-4244-889a-496d7caa4721
resource_19_last_modified,Updated,2025-09-18T06:04:48.511997
resource_19_metadata_modified,Metadata Updated,2025-09-18T06:09:27.443148
resource_19_microdata,Microdata,False
resource_19_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_19_resource_type,Resource Type,file.upload
resource_19_name,Resource Name,HIV Counseling and Testing Data for Nigeria
resource_19_mimetype,MIME Type,text/csv
resource_19_size,Size,330.1K
resource_20_created,Created,2020-01-27T19:36:13.494007
resource_20_description,Description,HXLated csv containing HIV Knowledge data
resource_20_format,File Format,CSV
resource_20_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/39eedd62-3696-4445-9af0-5055fd9218ba/download/hiv-knowledge_subnational_nga.csv
resource_20_id,Resource ID,39eedd62-3696-4445-9af0-5055fd9218ba
resource_20_last_modified,Updated,2025-09-18T06:04:49.266200
resource_20_metadata_modified,Metadata Updated,2025-09-18T06:09:42.163164
resource_20_microdata,Microdata,False
resource_20_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_20_resource_type,Resource Type,file.upload
resource_20_name,Resource Name,HIV Knowledge Data for Nigeria
resource_20_mimetype,MIME Type,text/csv
resource_20_size,Size,886.6K
resource_21_created,Created,2020-01-27T19:36:13.494011
resource_21_description,Description,HXLated csv containing Immunization data
resource_21_format,File Format,CSV
resource_21_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/0c536a15-9416-450c-b187-00de4ebe3628/download/immunization_subnational_nga.csv
resource_21_id,Resource ID,0c536a15-9416-450c-b187-00de4ebe3628
resource_21_last_modified,Updated,2025-09-18T06:04:49.542570
resource_21_metadata_modified,Metadata Updated,2025-09-18T06:09:30.591108
resource_21_microdata,Microdata,False
resource_21_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_21_resource_type,Resource Type,file.upload
resource_21_name,Resource Name,Immunization Data for Nigeria
resource_21_mimetype,MIME Type,text/csv
resource_21_size,Size,311.9K
resource_22_created,Created,2020-01-27T19:36:13.494016
resource_22_description,Description,HXLated csv containing Insecticide Treated Nets data
resource_22_format,File Format,CSV
resource_22_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/fc14f761-414f-4bcc-95cc-4f217d46c5a8/download/insecticide-treated-nets_subnational_nga.csv
resource_22_id,Resource ID,fc14f761-414f-4bcc-95cc-4f217d46c5a8
resource_22_last_modified,Updated,2025-09-18T06:04:49.794981
resource_22_metadata_modified,Metadata Updated,2025-09-18T06:09:32.986597
resource_22_microdata,Microdata,False
resource_22_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_22_resource_type,Resource Type,file.upload
resource_22_name,Resource Name,Insecticide Treated Nets Data for Nigeria
resource_22_mimetype,MIME Type,text/csv
resource_22_size,Size,1.7M
resource_23_created,Created,2020-01-27T19:36:13.494023
resource_23_description,Description,HXLated csv containing Iodized Salt data
resource_23_format,File Format,CSV
resource_23_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/2777e370-9874-481e-88c1-64662ddaa035/download/iodized-salt_subnational_nga.csv
resource_23_id,Resource ID,2777e370-9874-481e-88c1-64662ddaa035
resource_23_last_modified,Updated,2025-09-18T06:04:50.056626
resource_23_metadata_modified,Metadata Updated,2025-09-18T06:09:35.024081
resource_23_microdata,Microdata,False
resource_23_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_23_resource_type,Resource Type,file.upload
resource_23_name,Resource Name,Iodized Salt Data for Nigeria
resource_23_mimetype,MIME Type,text/csv
resource_23_size,Size,82.1K
resource_24_created,Created,2020-01-27T19:36:13.494030
resource_24_description,Description,HXLated csv containing Literacy data
resource_24_format,File Format,CSV
resource_24_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/bdb7f7ec-fad4-46a3-80a8-547e7c962e07/download/literacy_subnational_nga.csv
resource_24_id,Resource ID,bdb7f7ec-fad4-46a3-80a8-547e7c962e07
resource_24_last_modified,Updated,2025-09-18T06:04:50.306300
resource_24_metadata_modified,Metadata Updated,2025-09-18T06:09:41.216025
resource_24_microdata,Microdata,False
resource_24_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_24_resource_type,Resource Type,file.upload
resource_24_name,Resource Name,Literacy Data for Nigeria
resource_24_mimetype,MIME Type,text/csv
resource_24_size,Size,577.8K
resource_25_created,Created,2020-01-27T19:36:13.494035
resource_25_description,Description,HXLated csv containing Malaria Parasitemia data
resource_25_format,File Format,CSV
resource_25_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/77b90879-c905-4d82-bda5-05d32a628312/download/malaria-parasitemia_subnational_nga.csv
resource_25_id,Resource ID,77b90879-c905-4d82-bda5-05d32a628312
resource_25_last_modified,Updated,2025-09-18T06:04:50.630769
resource_25_metadata_modified,Metadata Updated,2025-09-18T06:09:36.405348
resource_25_microdata,Microdata,False
resource_25_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_25_resource_type,Resource Type,file.upload
resource_25_name,Resource Name,Malaria Parasitemia Data for Nigeria
resource_25_mimetype,MIME Type,text/csv
resource_25_size,Size,172.4K
resource_26_created,Created,2020-01-27T19:36:13.494039
resource_26_description,Description,HXLated csv containing Male Circumcision data
resource_26_format,File Format,CSV
resource_26_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/59a83514-067f-4705-9869-7318fa1e2d2a/download/male-circumcision_subnational_nga.csv
resource_26_id,Resource ID,59a83514-067f-4705-9869-7318fa1e2d2a
resource_26_last_modified,Updated,2025-09-18T06:04:51.541353
resource_26_metadata_modified,Metadata Updated,2025-09-18T06:09:43.005041
resource_26_microdata,Microdata,False
resource_26_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_26_resource_type,Resource Type,file.upload
resource_26_name,Resource Name,Male Circumcision Data for Nigeria
resource_26_mimetype,MIME Type,text/csv
resource_26_size,Size,49.7K
resource_27_created,Created,2020-01-27T19:36:13.494043
resource_27_description,Description,HXLated csv containing Men's Fertility and Family Planning data
resource_27_format,File Format,CSV
resource_27_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/e1db1fb7-be8f-454a-8205-727f4e51c6cd/download/mens-fertility-and-family-planning_subnational_nga.csv
resource_27_id,Resource ID,e1db1fb7-be8f-454a-8205-727f4e51c6cd
resource_27_last_modified,Updated,2025-09-18T06:04:51.801849
resource_27_metadata_modified,Metadata Updated,2025-09-18T06:09:39.547884
resource_27_microdata,Microdata,False
resource_27_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_27_resource_type,Resource Type,file.upload
resource_27_name,Resource Name,Men's Fertility and Family Planning Data for Nigeria
resource_27_mimetype,MIME Type,text/csv
resource_27_size,Size,595.2K
resource_28_created,Created,2020-01-27T19:36:13.494047
resource_28_description,Description,HXLated csv containing Micronutrients data
resource_28_format,File Format,CSV
resource_28_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/91176163-7d84-4384-8c3a-2ae4114840c1/download/micronutrients_subnational_nga.csv
resource_28_id,Resource ID,91176163-7d84-4384-8c3a-2ae4114840c1
resource_28_last_modified,Updated,2025-09-18T06:04:52.042185
resource_28_metadata_modified,Metadata Updated,2025-09-18T06:09:40.433321
resource_28_microdata,Microdata,False
resource_28_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_28_resource_type,Resource Type,file.upload
resource_28_name,Resource Name,Micronutrients Data for Nigeria
resource_28_mimetype,MIME Type,text/csv
resource_28_size,Size,455.0K
resource_29_created,Created,2020-01-27T19:36:13.494052
resource_29_description,Description,HXLated csv containing Orphans data
resource_29_format,File Format,CSV
resource_29_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/fb1a2dd2-2333-463c-998e-e7d9416f94fd/download/orphans_subnational_nga.csv
resource_29_id,Resource ID,fb1a2dd2-2333-463c-998e-e7d9416f94fd
resource_29_last_modified,Updated,2025-09-18T06:04:52.329080
resource_29_metadata_modified,Metadata Updated,2025-09-18T06:09:44.617472
resource_29_microdata,Microdata,False
resource_29_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_29_resource_type,Resource Type,file.upload
resource_29_name,Resource Name,Orphans Data for Nigeria
resource_29_mimetype,MIME Type,text/csv
resource_29_size,Size,455.3K
resource_30_created,Created,2020-01-27T19:36:13.494056
resource_30_description,Description,HXLated csv containing Symptoms of acute respiratory infection (ARI) data
resource_30_format,File Format,CSV
resource_30_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/20a125f9-4320-4e96-9efd-2d44adbefac1/download/symptoms-of-acute-respiratory-infection-ari_subnational_nga.csv
resource_30_id,Resource ID,20a125f9-4320-4e96-9efd-2d44adbefac1
resource_30_last_modified,Updated,2025-09-18T06:04:52.592658
resource_30_metadata_modified,Metadata Updated,2025-09-18T06:09:51.494401
resource_30_microdata,Microdata,False
resource_30_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_30_resource_type,Resource Type,file.upload
resource_30_name,Resource Name,Symptoms of acute respiratory infection (ARI) Data for Nigeria
resource_30_mimetype,MIME Type,text/csv
resource_30_size,Size,262.7K
resource_31_created,Created,2020-01-27T19:36:13.494060
resource_31_description,Description,HXLated csv containing Sexual Intercourse data
resource_31_format,File Format,CSV
resource_31_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/b6b2bd8e-fa7c-4ea7-985e-e93750999008/download/sexual-intercourse_subnational_nga.csv
resource_31_id,Resource ID,b6b2bd8e-fa7c-4ea7-985e-e93750999008
resource_31_last_modified,Updated,2025-09-18T06:04:52.901655
resource_31_metadata_modified,Metadata Updated,2025-09-18T06:09:58.073394
resource_31_microdata,Microdata,False
resource_31_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_31_resource_type,Resource Type,file.upload
resource_31_name,Resource Name,Sexual Intercourse Data for Nigeria
resource_31_mimetype,MIME Type,text/csv
resource_31_size,Size,604.2K
resource_32_created,Created,2020-01-27T19:36:13.494064
resource_32_description,Description,HXLated csv containing Social Marketing data
resource_32_format,File Format,CSV
resource_32_download_url,Download URL,https://data.humdata.org/dataset/6de94d23-f178-458d-ad0b-69a75d9e0b00/resource/829cd7b8-9266-4677-a651-cd2034128c49/download/social-marketing_subnational_nga.csv
resource_32_id,Resource ID,829cd7b8-9266-4677-a651-cd2034128c49
resource_32_last_modified,Updated,2025-09-18T06:04:53.248235
resource_32_metadata_modified,Metadata Updated,2025-09-18T06:09:54.917919
resource_32_microdata,Microdata,False
resource_32_dataset_id,Dataset ID,6de94d23-f178-458d-ad0b-69a75d9e0b00
resource_32_resource_type,Resource Type,file.upload
