temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
0,0,0,0,1,2,1,1,0,1,1,1,0,1,0,0,0,0.432109681
0,0,0,1,0,2,0,1,1,1,0,0,1,0,1,1,1,0.847437788
0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0.164229337
0,0,1,1,0,2,0,0,0,1,1,1,0,1,0,0,1,0.793301307
0,0,1,1,0,3,1,1,0,1,1,1,0,0,1,0,1,0.315557716
1,0,0,0,0,3,1,1,1,1,0,0,1,1,0,0,1,0.821845382
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.012742535
1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0.728139364
0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0.6421581
0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0.615101258
0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0.812831919
0,0,1,1,1,2,1,0,1,1,1,0,0,1,1,1,0,0.668924565
0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0.932558355
1,0,1,1,1,3,0,0,1,0,0,1,0,1,0,0,0,0.412208115
0,0,0,1,0,3,1,1,0,1,0,1,0,1,0,1,1,0.354787271
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.996391685
0,0,0,1,0,2,0,1,0,0,1,1,1,0,0,1,1,0.587765232
0,0,0,1,0,3,0,1,1,0,1,1,0,0,1,0,1,0.01652029
1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.759184877
0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0.126185288
0,0,1,1,0,3,0,1,0,1,1,1,1,0,1,1,0,0.778686694
1,0,1,1,1,3,0,0,1,1,1,1,1,0,1,0,1,0.106943061
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.926019442
1,1,1,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0.470788505
0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0.568810154
1,1,1,1,1,3,0,0,0,1,1,1,1,0,0,1,1,0.212860822
0,0,1,1,0,3,0,1,0,0,1,1,1,1,1,0,0,0.090789901
1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0.699428567
1,1,1,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0.879428118
1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0.639542105
1,0,1,0,1,3,0,1,1,0,0,0,1,0,1,0,1,0.201702383
1,0,1,1,0,3,0,0,1,0,1,1,0,0,1,1,0,0.910355753
0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,1,1,0.306664851
1,0,0,0,1,3,0,0,1,0,0,1,0,1,1,0,0,0.665360144
1,0,0,1,1,2,1,0,1,0,1,1,0,1,0,0,1,0.213162536
0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0.68480895
0,0,0,0,0,2,0,1,0,0,1,0,1,1,1,0,0,0.540266994
0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0.036835217
0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.532302453
0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,0.729160829
0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0.192801093
0,0,1,0,1,2,0,0,0,1,1,1,1,0,1,0,0,0.554173309
1,1,1,0,1,2,0,0,1,0,0,0,1,1,1,0,0,0.947070082
0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0.704185247
0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0.202235256
0,1,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0.986613016
1,0,0,0,1,3,1,0,0,1,1,1,1,1,1,1,0,0.600449256
0,0,0,1,1,3,1,1,0,1,1,1,0,0,0,1,0,0.622115382
0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0.405362263
0,1,0,1,0,3,1,1,1,1,1,0,0,0,0,1,0,0.287273118
1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0.841761366
0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0.113861469
1,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,1,0.134633083
0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0.41784741
0,0,0,1,1,3,0,0,0,0,1,1,1,1,1,0,1,0.342807331
0,1,0,1,1,3,0,0,0,1,0,0,1,1,1,1,1,0.252196631
1,1,0,0,1,2,0,0,0,1,1,1,1,0,1,1,0,0.990642791
0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0.081263138
1,1,1,1,1,3,0,0,1,1,0,1,1,0,1,1,1,0.644826017
0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,0,1,0.174050074
0,0,0,1,0,2,1,1,1,0,0,1,1,1,0,1,0,0.169710952
0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,1,0,0.779518932
1,0,1,0,0,3,0,1,1,0,0,0,1,1,1,0,1,0.056803228
0,1,0,0,0,3,1,1,1,1,1,1,0,0,1,1,0,0.819125738
0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0.790208676
0,0,0,0,1,3,0,0,0,1,1,1,0,0,0,1,1,0.688098904
0,0,1,0,1,2,1,1,1,1,0,1,0,0,0,0,1,0.261457997
0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0.313222506
1,1,0,0,1,2,0,1,0,0,1,1,1,0,0,0,1,0.363697785
0,0,0,0,1,3,0,1,0,1,0,0,1,0,1,1,1,0.313934523
0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0.158442812
1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0.12757543
0,1,1,1,0,3,0,1,1,1,1,0,0,0,1,0,1,0.63459578
0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0.752778344
0,0,1,1,1,3,1,0,0,1,0,1,0,0,1,0,0,0.018250748
1,1,1,0,1,3,0,0,0,1,0,0,1,0,0,1,1,0.971292171
1,0,0,0,1,2,1,0,0,0,1,1,1,0,0,1,1,0.754690966
0,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0.083375527
0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0.899917892
1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0.868575474
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.764510191
1,1,0,0,0,3,1,0,1,1,0,1,0,0,0,1,1,0.340806131
0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0.217570253
1,0,1,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0.780908368
0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0.656069927
0,1,1,0,0,2,0,1,0,0,1,1,1,1,0,1,1,0.712628939
1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0.261292571
1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0.49612457
0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0.406827904
1,1,0,0,1,2,1,0,1,0,1,1,1,1,0,1,1,0.417745182
1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0.305268623
0,1,0,0,1,3,1,0,1,0,1,1,0,1,0,0,1,0.181812409
0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0.274488779
0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0.061387293
1,0,0,1,0,3,0,0,1,1,1,0,1,1,0,0,1,0.53497016
0,1,1,1,1,3,1,0,1,0,1,1,0,0,1,1,1,0.029919285
1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0.808644647
0,0,0,0,1,3,1,0,1,1,0,1,1,1,1,0,0,0.933374679
0,1,0,1,0,3,1,1,1,1,0,0,0,0,1,0,0,0.0630576
1,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0.017630583
0,1,0,0,0,2,0,1,0,1,1,1,0,1,1,1,1,0.14543311
1,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,1,0.224098686
0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0.034732536
0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1,0.539018346
0,1,1,0,0,3,0,1,1,1,0,1,1,0,1,0,0,0.833147891
0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,1,1,0.567587689
0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,1,1,0.468605924
0,0,1,1,1,3,1,1,0,0,0,1,1,1,0,0,1,0.173271702
0,1,0,0,0,2,0,1,1,1,1,0,0,1,1,0,1,0.510945534
1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0.599991981
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0.635600962
0,1,0,1,1,2,0,1,1,0,1,0,1,1,1,1,0,0.900083954
1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0.517235957
1,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0.993813528
1,0,0,1,0,3,0,1,0,0,1,1,1,0,0,0,1,0.107501839
0,0,1,0,1,2,1,1,0,1,1,1,1,1,1,0,1,0.423245213
0,0,1,1,0,2,1,1,1,1,1,0,0,1,0,1,0,0.482161653
0,1,0,1,1,3,1,1,0,1,1,0,1,1,0,1,0,0.094478804
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0.808293008
0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0.468491837
0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,1,0,0.390355429
1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0.501452698
0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0.769888407
0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0.451374833
1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0.614355685
1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.219242882
0,0,1,0,1,2,0,1,0,1,1,1,1,1,0,0,0,0.860778594
1,0,0,1,1,3,1,0,0,1,0,1,0,1,0,0,1,0.036548173
1,0,0,0,1,3,1,0,1,0,0,0,0,1,1,1,0,0.333812667
1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.833791218
1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.143215965
1,0,1,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0.980259942
0,0,0,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0.221967445
1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0.074325338
0,1,0,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0.148803564
1,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,1,0.472937398
0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0.285440837
0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0.536603862
1,1,0,1,0,2,1,0,1,1,1,1,1,0,1,1,0,0.995022404
0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.696983442
0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0.817226306
0,0,1,0,0,3,1,1,1,0,1,0,0,1,1,1,1,0.828284383
0,1,0,1,0,2,1,0,1,1,1,0,0,0,1,1,1,0.63204256
0,1,1,0,1,3,1,1,1,0,1,1,1,1,0,0,1,0.428656596
1,0,1,0,1,3,0,0,1,0,0,0,1,0,1,1,0,0.109959008
1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0.013896438
0,0,0,1,1,3,1,1,0,1,0,0,1,0,0,0,1,0.570883429
1,1,1,0,0,3,1,1,0,1,0,0,1,0,0,1,1,0.883475066
1,1,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,0.504076993
0,0,1,0,1,3,1,0,0,1,1,1,1,0,1,0,1,0.92642054
0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0.763750857
0,0,0,1,0,2,1,0,1,0,1,1,0,1,0,1,1,0.639229383
0,0,0,1,0,3,0,1,1,1,1,0,1,1,0,1,1,0.86146924
1,1,1,1,0,3,0,1,1,1,1,0,0,0,0,0,1,0.160258632
0,0,0,1,1,3,1,1,0,1,1,1,1,1,1,0,1,0.088800931
1,1,0,1,1,3,0,1,1,1,0,0,0,0,1,1,1,0.421886637
0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0.919805678
1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0.745226302
0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0.572013067
0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0.341220029
1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0.563005323
0,1,0,1,1,3,1,0,0,0,1,0,1,0,1,0,1,0.693579615
1,0,1,1,1,3,1,1,1,1,0,0,1,0,0,1,0,0.354556631
0,1,1,1,1,2,0,1,1,1,0,0,0,0,1,0,0,0.467550835
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0.659122253
0,1,1,0,1,3,0,1,0,1,1,0,0,1,1,1,1,0.072626914
0,1,1,1,1,2,1,0,1,0,1,0,0,1,1,0,1,0.515837772
1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.675060253
0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0.685249076
1,1,0,0,1,2,0,0,1,0,1,1,0,1,0,0,0,0.312053426
1,0,0,1,0,3,1,1,0,1,0,1,1,0,1,0,0,0.940491962
1,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0.999749695
0,1,0,0,0,3,1,1,0,0,0,0,0,1,1,0,1,0.236318653
0,1,1,0,1,3,1,1,0,0,0,1,0,0,0,0,1,0.760314467
0,0,1,0,1,3,1,0,1,1,1,1,1,0,1,1,0,0.764590879
0,1,1,1,0,3,1,1,1,1,0,1,0,1,0,1,0,0.680723702
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.341775361
0,0,1,0,1,3,1,0,0,1,0,0,1,1,0,1,1,0.074289706
0,0,1,1,0,3,1,1,1,0,1,1,1,0,0,0,0,0.322047649
0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.663160829
1,1,1,0,0,3,0,1,0,1,1,1,0,0,1,0,1,0.058559347
1,0,1,0,1,2,1,0,0,0,1,1,1,1,1,1,0,0.534472787
0,0,1,0,1,2,1,0,1,0,0,1,1,0,1,0,1,0.502752159
1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0.86850971
0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0.274469687
0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0.917307293
1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0.925881248
0,1,1,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0.524412591
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0.798407567
0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0.334272088
1,0,1,1,1,3,0,1,0,0,0,1,0,1,0,0,1,0.723160191
1,0,1,1,0,3,1,0,1,1,1,1,0,1,0,1,1,0.501767844
0,1,0,1,0,2,1,1,0,1,0,0,1,1,1,1,1,0.354485053
1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0.318432075
1,1,0,0,0,3,1,1,0,0,0,0,1,1,0,1,1,0.23372611
0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0.750080517
